scenario,nameOM,nameMP,keyVar,plotOrder,species,simYears,harvContRule,benchmark,canER,usER,propMixHigh,enRouteMort,constrain,singleHCR,moveTAC,prodRegime,startYear,endYear,rho,arSigTransform,correlCU,corrMat,tauCatch,obsSig,mixOUSig,singOUSig,obsMixCatchSig,obsSingCatchSig,obsAgeErr,lowCatchThresh,highCatchThresh,extinctThresh,adjustSig,adjustAge,adjustForecast,adjustEnRouteSig,preFMigMort
retroSingHCR_fixedER_lowProd,low,retro_0.7Fixed,ppnMix,3,sockeye,20,fixedER,stockRecruit,0.35,NA,0.7,TRUE,TRUE,retro,FALSE,low,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
retroSingHCR_fixedER_lowProd,low,retro_0.5Fixed,ppnMix,4,sockeye,20,fixedER,stockRecruit,0.35,NA,0.5,TRUE,TRUE,retro,FALSE,low,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
forecastSingHCR_fixedER_lowProd,low,fore_1.0Fixed,ppnMix,1,sockeye,20,fixedER,stockRecruit,0.35,NA,1,TRUE,TRUE,forecast,FALSE,low,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
forecastSingHCR_fixedER_lowProd,low,fore_0.85Fixed,ppnMix,2,sockeye,20,fixedER,stockRecruit,0.35,NA,0.85,TRUE,TRUE,forecast,FALSE,low,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
forecastSingHCR_fixedER_lowProd,low,fore_0.7Fixed,ppnMix,3,sockeye,20,fixedER,stockRecruit,0.35,NA,0.7,TRUE,TRUE,forecast,FALSE,low,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
forecastSingHCR_fixedER_lowProd,low,fore_0.5Fixed,ppnMix,4,sockeye,20,fixedER,stockRecruit,0.35,NA,0.5,TRUE,TRUE,forecast,FALSE,low,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
noSingHCR_fixedER_skew,skewN,noRule_1.0Fixed,ppnMix,1,sockeye,20,fixedER,stockRecruit,0.35,NA,1,TRUE,TRUE,FALSE,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
noSingHCR_fixedER_skew,skewN,noRule_0.85Fixed,ppnMix,2,sockeye,20,fixedER,stockRecruit,0.35,NA,0.85,TRUE,TRUE,FALSE,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
noSingHCR_fixedER_skew,skewN,noRule_0.7Fixed,ppnMix,3,sockeye,20,fixedER,stockRecruit,0.35,NA,0.7,TRUE,TRUE,FALSE,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
noSingHCR_fixedER_skew,skewN,noRule_0.5Fixed,ppnMix,4,sockeye,20,fixedER,stockRecruit,0.35,NA,0.5,TRUE,TRUE,FALSE,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
retroSingHCR_fixedER_skew,skewN,retro_1.0Fixed,ppnMix,1,sockeye,20,fixedER,stockRecruit,0.35,NA,1,TRUE,TRUE,retro,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
retroSingHCR_fixedER_skew,skewN,retro_0.85Fixed,ppnMix,2,sockeye,20,fixedER,stockRecruit,0.35,NA,0.85,TRUE,TRUE,retro,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
retroSingHCR_fixedER_skew,skewN,retro_0.7Fixed,ppnMix,3,sockeye,20,fixedER,stockRecruit,0.35,NA,0.7,TRUE,TRUE,retro,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
retroSingHCR_fixedER_skew,skewN,retro_0.5Fixed,ppnMix,4,sockeye,20,fixedER,stockRecruit,0.35,NA,0.5,TRUE,TRUE,retro,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
forecastSingHCR_fixedER_skew,skewN,fore_1.0Fixed,ppnMix,1,sockeye,20,fixedER,stockRecruit,0.35,NA,1,TRUE,TRUE,forecast,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
forecastSingHCR_fixedER_skew,skewN,fore_0.85Fixed,ppnMix,2,sockeye,20,fixedER,stockRecruit,0.35,NA,0.85,TRUE,TRUE,forecast,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
forecastSingHCR_fixedER_skew,skewN,fore_0.7Fixed,ppnMix,3,sockeye,20,fixedER,stockRecruit,0.35,NA,0.7,TRUE,TRUE,forecast,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
forecastSingHCR_fixedER_skew,skewN,fore_0.5Fixed,ppnMix,4,sockeye,20,fixedER,stockRecruit,0.35,NA,0.5,TRUE,TRUE,forecast,FALSE,skew,NA,NA,0.2,TRUE,0.4,FALSE,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.5,1,0.0001,1,1,1,1,0
